SAMPLENAME	Monkey	Month..round.	Year	Month	Day	Cell.Type	simple_cell_type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID	Month_timepoint
zg66_42m_PB_NK_CD56pCD16p_DP_20160602_0606sort_fixedsample_pp_50trim_CD135_R1.fastq	ZG66	42m	NA	NA	NA	NK DP	NK DP	NA	fixed	CD135	ZG66 42m    NK CD56p CD16p DP  fixed CD135	125035	2711633	4.611059	100	GTAGCC	42
ZG666hmCD11cpCD16nBDCA1nMDC.fastq	ZG66	6hm	NA	NA	NA	CD11p CD16n BDCA1n MDC	CD11p CD16n BDCA1n MDC	NA	NA	NA	ZG66 6hm    CD11cp CD16n BDCA1n MDC   	1883852	4000000	47.0963	100	GTAGCC	6.5
sampled_trimmed_ZG66_48m_12_12_2016_PB_MONO_CELL_RNA_R23_FX18.fastq	ZG66	48m	NA	NA	NA	Mono	Mono	NA	RNA	FX18	ZG66 48m    Mono  RNA FX18	2950092	4000000	73.7523	100	GTAGCC	48
pp_50trim_ZG66_47M__27102016__CD16pos_NKP80pos_R14_CD139.fastq	ZG66	47m	NA	NA	NA	NK CD16sp NKP80p	CD16+ NKP80p	NA	NA	CD139	ZG66 47m    CD16+ NKP80p   CD139	2677031	4000000	66.925775	100	GTAGCC	47
pp_50trim_ZG66_47M_20161027__NKP80neg_SYK_Bright_R2_CD140.fastq	ZG66	47m	NA	NA	NA	NK CD16sp NKP80N SYKBbright	CD16+ NKP80N SYKBbright	NA	NA	CD140	ZG66 47m    CD16+ NKP80N SYKBbright   CD140	3108744	3868223	80.366204	100	GTAGCC	47
zg666hmB100ngnewDNA.fastq	ZG66	6hm	NA	NA	NA	B	B	NA	100ng new DNA	NA	ZG66 6hm    B  100ng new DNA 	3378855	4000000	84.471375	100	GTAGCC	6.5
zg6617mGrRNA.fastq	ZG66	17m	NA	NA	NA	Grans	Gr	NA	RNA	NA	ZG66 17m    Grans  RNA 	3029535	4000000	75.738375	100	GTAGCC	17
pp_50trim_ZG66_47M_20161027_CD56posNKP80pos_fIxed_R24_CD140.fastq	ZG66	47m	NA	NA	NA	NK CD56sp NKP80p	CD56+ NKP80p	NA	NA	CD140	ZG66 47m    CD56+ NKP80p   CD140	2736314	3576055	76.517671	100	GTAGCC	47
zg66_27m_B_CD85_R35_CATTTT_L007_R1_001.fastq	ZG66	27m	NA	NA	NA	B	B	NA	NA	CD85	ZG66 27m    B   CD85	3258343	4000000	81.458575	100	GTAGCC	27
ZG664hmMono.fastq	ZG66	4hm	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 4hm    Mono   	2921681	4000000	73.042025	100	GTAGCC	4.5
ZG665mLBMGr.fastq	ZG66	5m	NA	NA	NA	Grans	Gr	NA	LBM	NA	ZG66 5m    Grans  LBM 	2663996	4000000	66.5999	100	GTAGCC	5
ZG666hmNK.fastq	ZG66	6hm	NA	NA	NA	NK	NK	NA	NA	NA	ZG66 6hm    NK   	2026433	4000000	50.660825	100	GTAGCC	6.5
ZG667mRightGr.fastq	ZG66	7m	NA	NA	NA	Grans	Gr	NA	RBM	NA	ZG66 7m    Grans  RBM 	3189802	4000000	79.74505	100	GTAGCC	7
zg66_49hm_PB_rbc_RNA_20170131_sampled_FX28_N723_S18_L001_R1_001.fastq	ZG66	49hm	NA	NA	NA	RBC	RBC	NA	RNA	FX28	ZG66 49hm    RBC  RNA FX28	1652697	4000000	41.317425	100	GTAGCC	49.5
zg6614hmMo.fastq	ZG66	14hm	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 14hm    Mono   	3111513	4000000	77.787825	100	GTAGCC	14.5
ZG662mGr.fastq	ZG66	2m	NA	NA	NA	Grans	Gr	NA	NA	NA	ZG66 2m    Grans   	2208232	4000000	55.2058	100	GTAGCC	2
zg66_B_CD20_20160829_PBMC_pp_50trim_R2.fastq	ZG66	45m	NA	NA	NA	B	B	NA	NA	NA	ZG66 45m    B   CD20 PBMC	3258041	4000000	81.451025	100	GTAGCC	45
ZG666hmLeftNodeNKfrozen.fastq	ZG66	6hm	NA	NA	NA	NK	NK	NA	left node frozen	NA	ZG66 6hm    NK  left node frozen 	1890827	4000000	47.270675	100	GTAGCC	6.5
zg66_Monocytes_20160829_PBMC_pp_50trim_R3.fastq	ZG66	45m	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 45m    Mono   	3199778	4000000	79.99445	100	GTAGCC	45
ZG667mLeftGr.fastq	ZG66	7m	NA	NA	NA	Grans	Gr	NA	LBM	NA	ZG66 7m    Grans  LBM 	3173199	4000000	79.329975	100	GTAGCC	7
zg667mNKCD16p2.fastq	ZG66	7m	NA	NA	NA	NK CD16sp	CD16+	NA	rep	NA	ZG66 7m    CD16+  rep 	3116338	4000000	77.90845	100	GTAGCC	7
zg66_27m_CD56p_CD16n_CD85_R38_CTAGCT_L007_R1_001.fastq	ZG66	27m	NA	NA	NA	NK CD56sp	CD56+	NA	NA	CD85	ZG66 27m    CD56+   CD85	3224783	4000000	80.619575	100	GTAGCC	27
zg6612mBRNA2x.fastq	ZG66	12m	NA	NA	NA	B	B	NA	RNA rep	NA	ZG66 12m    B  RNA rep 	2818107	3325434	84.744036	100	GTAGCC	12
ZG663mGr.fastq	ZG66	3m	NA	NA	NA	Grans	Gr	NA	NA	NA	ZG66 3m    Grans   	2200016	4000000	55.0004	100	GTAGCC	3
zg6612mT.fastq	ZG66	12m	NA	NA	NA	T	T	NA	NA	NA	ZG66 12m    T   	3217922	4000000	80.44805	100	GTAGCC	12
ZG666hmNK16p.fastq	ZG66	6hm	NA	NA	NA	NK CD16sp	CD16+	NA	NA	NA	ZG66 6hm    CD16+   	1922273	4000000	48.056825	100	GTAGCC	6.5
zg66_42m_PB_Gr_Ficoll_20160602_pp_50trim_CD135_R28.fastq	ZG66	42m	NA	NA	NA	Grans	Gr	NA	NA	CD135	ZG66 42m    Grans   CD135	2793092	3306583	84.470645	100	GTAGCC	42
zg666hmB500ngnewDNA.fastq	ZG66	6hm	NA	NA	NA	B	B	NA	500ng new DNA	NA	ZG66 6hm    B  500ng new DNA 	3379019	4000000	84.475475	100	GTAGCC	6.5
ZG664hmNK16n56n.fastq	ZG66	4hm	NA	NA	NA	NK DN	DN	NA	NA	NA	ZG66 4hm    NK DN   	2914685	4000000	72.867125	100	GTAGCC	4.5
zg6617mTlowbandRNA.fastq	ZG66	17m	NA	NA	NA	T	T	NA	lowband RNA	NA	ZG66 17m    T  lowband RNA 	3387611	4000000	84.690275	100	GTAGCC	17
pp_50trim_ZG66_47M__27102016__Mono__fIxed_R28_CD139.fastq	ZG66	47m	NA	NA	NA	Mono	Mono	NA	fixed	CD139	ZG66 47m    Mono  fixed CD139	3020843	4000000	75.521075	100	GTAGCC	47
zg6614hmB1p9E6.fastq	ZG66	14hm	NA	NA	NA	B	B	NA	1.9 million cells	NA	ZG66 14hm    B  1.9 million cells 	2666654	3151979	84.602531	100	GTAGCC	14.5
zg6624mBJoy.fastq	ZG66	24m	NA	NA	NA	B	B	NA	NA	NA	ZG66 24m    B   	1455987	1956034	74.435669	100	GTAGCC	24
zg6617mNKdp.fastq	ZG66	17m	NA	NA	NA	NK DP	NK DP	NA	NA	NA	ZG66 17m    NK DP   	3331074	4000000	83.27685	100	GTAGCC	17
sampled_trimmed_ZG66_48m_12_12_2016_PB_PLT_GFPn_RNA_R14_FX18.fastq	ZG66	48m	NA	NA	NA	PLT GPFn	PLT GPFn	NA	RNA	FX18	ZG66 48m    PLT  GFPn RNA FX18	2268686	4000000	56.71715	100	GTAGCC	48
zg66_NK_CD16p_NKP80p_NKG2Ap_KIRbright_20160829_PBMC_pp_50trim_R6.fastq	ZG66	45m	NA	NA	NA	NK CD16sp NKP80p NKG2Ap KIRbright	CD16+ NKP80p NKG2Ap KIRbright	NA	NA	NA	ZG66 45m    CD16+ NKP80p NKG2Ap KIRbright   	2775144	4000000	69.3786	100	GTAGCC	45
sampled_trimmed_ZG66_48m_12_12_2016_PB_PLT_GFPp_RNA_R12_FX18.fastq	ZG66	48m	NA	NA	NA	PLT GFPp	PLT GFPp	NA	RNA	FX18	ZG66 48m    PLT  GFPp RNA FX18	2798630	4000000	69.96575	100	GTAGCC	48
sampled_trimmed_ZG66_2017Jan4_Monocytes_R23_YD12.fastq	ZG66	49m	NA	NA	NA	Mono	Mono	NA	in vitro	YD12	ZG66 49m    Mono  in vitro YD12	3106509	4000000	77.662725	100	GTAGCC	49
zg6617mRBCrep2RNA.fastq	ZG66	17m	NA	NA	NA	RBC	RBC	NA	RNA rep2	NA	ZG66 17m    RBC  RNA rep2 	3201148	4000000	80.0287	100	GTAGCC	17
zg6612hmRPadCD34n.fastq	ZG66	12hm	NA	NA	NA	CD34n	CD34n	NA	Rpad	NA	ZG66 12hm    CD34n  Rpad 	3150145	4000000	78.753625	100	GTAGCC	12.5
zg66_27m_GRANS_ficoll_CD85_R39_CTATAC_L007_R1_001.fastq	ZG66	27m	NA	NA	NA	Grans	Gr	NA	NA	CD85	ZG66 27m    Grans   CD85	3290740	4000000	82.2685	100	GTAGCC	27
zg6617mMo.fastq	ZG66	17m	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 17m    Mono   	3346622	4000000	83.66555	100	GTAGCC	17
ZG661mNK.fastq	ZG66	1m	NA	NA	NA	NK	NK	NA	NA	NA	ZG66 1m    NK   	1304873	2108139	61.896915	100	GTAGCC	1
zg6612mNK.fastq	ZG66	12m	NA	NA	NA	NK	NK	NA	NA	NA	ZG66 12m    NK   	3167208	4000000	79.1802	100	GTAGCC	12
zg6617mNKcd16p.fastq	ZG66	17m	NA	NA	NA	NK CD16sp	CD16+	NA	NA	NA	ZG66 17m    CD16+   	3128897	4000000	78.222425	100	GTAGCC	17
zg6614hmNK16p56p.fastq	ZG66	14hm	NA	NA	NA	NK DP	NK DP	NA	NA	NA	ZG66 14hm    NK DP   	3297743	4000000	82.443575	100	GTAGCC	14.5
zg66_NK_CD16p_NKP80p_NKG2Ap_KIRneg_20160829_PBMC_pp_50trim_R12.fastq	ZG66	45m	NA	NA	NA	NK CD16sp NKP80p NKG2Ap KIRneg	CD16+ NKP80p NKG2Ap KIRneg	NA	NA	NA	ZG66 45m    CD16+ NKP80p NKG2Ap KIRneg   	2749641	3986756	68.969383	100	GTAGCC	45
ZG667mPBGr.fastq	ZG66	7m	NA	NA	NA	Grans	Gr	NA	PB	NA	ZG66 7m    Grans  PB 	3225541	4000000	80.638525	100	GTAGCC	7
pp_50trim_ZG66_47M__27102016__Mono__R21_CD139.fastq	ZG66	47m	NA	NA	NA	Mono	Mono	NA	NA	CD139	ZG66 47m    Mono   CD139	2963414	4000000	74.08535	100	GTAGCC	47
ZG666hmRightNodeBfrozen.fastq	ZG66	6hm	NA	NA	NA	B	B	NA	Right node frozen	NA	ZG66 6hm    B  Right node frozen 	1930847	4000000	48.271175	100	GTAGCC	6.5
ZG663mB.fastq	ZG66	3m	NA	NA	NA	B	B	NA	NA	NA	ZG66 3m    B   	2184527	4000000	54.613175	100	GTAGCC	3
ZG663mNK.fastq	ZG66	3m	NA	NA	NA	NK	NK	NA	NA	NA	ZG66 3m    NK   	2157708	4000000	53.9427	100	GTAGCC	3
zg6612mBdna.fastq	ZG66	12m	NA	NA	NA	B	B	NA	rep	NA	ZG66 12m    B  rep 	3285671	4000000	82.141775	100	GTAGCC	12
pp_50trim_ZG66_47M__27102016__T_fIxed_R26_CD139.fastq	ZG66	47m	NA	NA	NA	T	T	NA	fixed	CD139	ZG66 47m    T  fixed CD139	2888953	4000000	72.223825	100	GTAGCC	47
zg6612hmPBGr.fastq	ZG66	12hm	NA	NA	NA	Grans	Gr	NA	PB	NA	ZG66 12hm    Grans  PB 	2520419	3224295	78.169615	100	GTAGCC	12.5
zg667mRBMcd34n2.fastq	ZG66	7m	NA	NA	NA	CD34n	CD34n	NA	rep	NA	ZG66 7m    CD34n  rep 	13138	16473	79.75475	100	GTAGCC	7
zg6612mGFPpCD33n.fastq	ZG66	12m	NA	NA	NA	Grans CD33n GFPp	Gr CD33n GFPp	NA	NA	NA	ZG66 12m    Grans CD33n GFPp   	2936847	4000000	73.421175	100	GTAGCC	12
ZG666hmRightNodeTfrozen.fastq	ZG66	6hm	NA	NA	NA	T	T	NA	Right node frozen	NA	ZG66 6hm    T  Right node frozen 	1871348	4000000	46.7837	100	GTAGCC	6.5
pp_50trim_ZG66_47M_20161027_SYK_Neg_R26_CD140.fastq	ZG66	47m	NA	NA	NA	NK CD16sp SYKneg	CD16+ SYKneg	NA	NA	CD140	ZG66 47m    CD16+ SYKneg   CD140	3536752	4000000	88.4188	100	GTAGCC	47
zg6617mB.fastq	ZG66	17m	NA	NA	NA	B	B	NA	NA	NA	ZG66 17m    B   	2988650	4000000	74.71625	100	GTAGCC	17
sampled_trimmed_ZG66_48m_12_12_2016_PB_GRANS_RNA_R21_FX18.fastq	ZG66	48m	NA	NA	NA	Grans	Gr	NA	RNA	FX18	ZG66 48m    Grans  RNA FX18	2920892	4000000	73.0223	100	GTAGCC	48
pp_50trim_ZG66_47M__27102016__B_R6_CD139.fastq	ZG66	47m	NA	NA	NA	B	B	NA	NA	CD139	ZG66 47m    B   CD139	2883385	4000000	72.084625	100	GTAGCC	47
sampled_trimmed_ZG66_48m_12_12_2016_PB_RBC_2_RNA_R28_FX20.fastq	ZG66	48m	NA	NA	NA	RBC	RBC	NA	2 RNA	FX20	ZG66 48m    RBC  2 RNA FX20	3137810	4000000	78.44525	100	GTAGCC	48
zg666hmB200ngnewDNA.fastq	ZG66	6hm	NA	NA	NA	B	B	NA	200ng new DNA	NA	ZG66 6hm    B  200ng new DNA 	3302900	4000000	82.5725	100	GTAGCC	6.5
zg66_42m_Mono_20160602frozenPBMNC_20160715sort_pp_50trim_YD2_R21.fastq	ZG66	42m	NA	NA	NA	Mono	Mono	NA	frozen	YD2	ZG66 42m    Mono  frozen YD2	3176050	4000000	79.40125	100	GTAGCC	42
ZG667mLeftCD34n.fastq	ZG66	7m	NA	NA	NA	CD34n	CD34n	NA	LBM	NA	ZG66 7m    CD34n  LBM 	3175442	4000000	79.38605	100	GTAGCC	7
sampled_trimmed_zg66_48m_12_12_16_Sampling_12_13_sort_T_R1_CD142.fastq	ZG66	48m	NA	NA	NA	T	T	NA	NA	CD142	ZG66 48m    T   CD142	3021944	4000000	75.5486	100	GTAGCC	48
zg66_36m_Mono_20151214_pp_50trim_CD117_R3.fastq	ZG66	36m	NA	NA	NA	Mono	Mono	NA	NA	CD117	ZG66 36m    Mono   CD117	3384535	4000000	84.613375	100	GTAGCC	36
zg6622mGFPpNKCD806.fastq	ZG66	22m	NA	NA	NA	Grans GFPp	Gr GFPp	NA	NA	NA	ZG66 22m    Grans GFPp   506	3219197	4000000	80.479925	100	GTAGCC	22
ZG665mRBMcd34p.fastq	ZG66	5m	NA	NA	NA	CD34p	CD34p	NA	RBM	NA	ZG66 5m    CD34p  RBM 	2178792	4000000	54.4698	100	GTAGCC	5
ZG664hmNK.fastq	ZG66	4hm	NA	NA	NA	NK	NK	NA	NA	NA	ZG66 4hm    NK   	2940582	4000000	73.51455	100	GTAGCC	4.5
zg665mRBMCD34prep2.fastq	ZG66	5m	NA	NA	NA	CD34p	CD34p	NA	RBM rep2	NA	ZG66 5m    CD34p  RBM rep2 	2569756	3569959	71.982787	100	GTAGCC	5
zg6612hmLPadGr.fastq	ZG66	12hm	NA	NA	NA	Grans	Gr	NA	Lpad	NA	ZG66 12hm    Grans  Lpad 	1834349	2366658	77.507988	100	GTAGCC	12.5
ZG664hmT.fastq	ZG66	4hm	NA	NA	NA	T	T	NA	NA	NA	ZG66 4hm    T   	2880522	4000000	72.01305	100	GTAGCC	4.5
sampled_trimmed_zg66_48m_12_12_16_Sampling_12_13_sort_Gr_Ficolled_R4_CD142.fastq	ZG66	48m	NA	NA	NA	Grans	Gr	NA	NA	CD142	ZG66 48m    Grans   CD142	3182540	4000000	79.5635	100	GTAGCC	48
ZG666hmNKdpFrozen.fastq	ZG66	6hm	NA	NA	NA	NK DP	NK DP	NA	frozen	NA	ZG66 6hm    NK DP  frozen 	1985894	4000000	49.64735	100	GTAGCC	6.5
zg6612mTRNA2x.fastq	ZG66	12m	NA	NA	NA	T	T	NA	RNA rep	NA	ZG66 12m    T  RNA rep 	2904077	3438161	84.465998	100	GTAGCC	12
ZG663mnodeB.fastq	ZG66	3m	NA	NA	NA	B	B	NA	node	NA	ZG66 3m    B  node 	2183849	4000000	54.596225	100	GTAGCC	3
zg6617mGr.fastq	ZG66	17m	NA	NA	NA	Grans	Gr	NA	NA	NA	ZG66 17m    Grans   	3393877	4000000	84.846925	100	GTAGCC	17
zg66_42m_NK_CD16n_CD56p_20160602frozenPBMNC_20160715sort_pp_50trim_YD2_R23.fastq	ZG66	42m	NA	NA	NA	NK CD56sp	CD56+	NA	frozen	YD2	ZG66 42m    CD56+ CD16n  frozen YD2	158059	4000000	3.951475	100	GTAGCC	42
ZG665mLBMcd34p.fastq	ZG66	5m	NA	NA	NA	CD34p	CD34p	NA	LBM	NA	ZG66 5m    CD34p  LBM 	2770824	3983217	69.562467	100	GTAGCC	5
zg6624mBRocky.fastq	ZG66	24m	NA	NA	NA	B	B	NA	NA	Rocky	ZG66 24m    B   Rocky	2895172	4000000	72.3793	100	GTAGCC	24
ZG662mMono.fastq	ZG66	2m	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 2m    Mono   	2736427	4000000	68.410675	100	GTAGCC	2
zg6612hmRPadcd34p.fastq	ZG66	12hm	NA	NA	NA	CD34P	CD34P	NA	Rpad	NA	ZG66 12hm    CD34p  Rpad 	3134473	4000000	78.361825	100	GTAGCC	12.5
ZG666hmRightNodeT2nd.fastq	ZG66	6hm	NA	NA	NA	T	T	NA	Right node rep	NA	ZG66 6hm    T  Right node rep 	1875831	4000000	46.895775	100	GTAGCC	6.5
zg6612mBRNA.fastq	ZG66	12m	NA	NA	NA	B	B	NA	RNA	NA	ZG66 12m    B  RNA 	2465225	4000000	61.630625	100	GTAGCC	12
ZG666hmCD33pGFPpGr.fastq	ZG66	6hm	NA	NA	NA	Grans CD33p GFPp	Gr	NA	NA	NA	ZG66 6hm    Grans CD33p GFPp   	1284619	2669255	48.1265	100	GTAGCC	6.5
zg667mLBMcd34n2.fastq	ZG66	7m	NA	NA	NA	CD34n	CD34n	NA	LBM rep	NA	ZG66 7m    CD34n  LBM rep 	2727956	3363187	81.112231	100	GTAGCC	7
ZG665mRBMcd34n.fastq	ZG66	5m	NA	NA	NA	CD34n	CD34n	NA	RBM	NA	ZG66 5m    CD34n  RBM 	2522572	3829564	65.870997	100	GTAGCC	5
zg66_20150615sample_T_CD102_R14_AGTTCC_L006_R1_001.fastq	ZG66	30m	2019	6	15	T	T	NA	NA	NA	ZG66 30m 2019 06 15 T   	2924467	3734417	78.311206	100	GTAGCC	30
zg66_20150615sample_Grans_ficoll_CD102_R12_CTTGTA_L006_R1_001.fastq	ZG66	30m	2015	6	15	Grans	Gr	NA	NA	NA	ZG66 30m 2015 06 15 Grans   	2105411	2591965	81.228373	100	GTAGCC	30
zg6612hmLPadCD34n.fastq	ZG66	12hm	NA	NA	NA	CD34n	CD34n	NA	Lpad	NA	ZG66 12hm    CD34n  Lpad 	2776938	3516772	78.962696	100	GTAGCC	12.5
ZG666hmNKsortMono.fastq	ZG66	6hm	NA	NA	NA	Mono	Mono	NA	NK Sort	NA	ZG66 6hm    Mono  NK Sort 	1947698	4000000	48.69245	100	GTAGCC	6.5
zg66_36m_NK_CD16sp_20151214_pp_50trim_CD117_R4.fastq	ZG66	36m	NA	NA	NA	NK CD16sp	CD16+	NA	NA	CD117	ZG66 36m    CD16+   CD117	3107066	3860559	80.482282	100	GTAGCC	36
zg66_36m_B_20151214_pp_50trim_CD117_R2.fastq	ZG66	36m	NA	NA	NA	B	B	NA	NA	CD117	ZG66 36m    B   CD117	3293751	4000000	82.343775	100	GTAGCC	36
zg66_36m_NK_CD56sp_201512214_pp_50trim_CD117_R5.fastq	ZG66	36m	NA	NA	NA	NK CD56sp	CD56+	NA	NA	CD117	ZG66 36m    CD56+   CD117	291033	374274	77.759342	100	GTAGCC	36
zg6614hmNK16n56p.fastq	ZG66	14hm	NA	NA	NA	NK CD56sp CD16n	CD56+	NA	NA	NA	ZG66 14hm    CD56+ CD16n	2582794	4000000	64.56985	100	GTAGCC	14.5
zg6622mTCD803.fastq	ZG66	22m	NA	NA	NA	T	T	NA	NA	NA	ZG66 22m    T   	3018317	4000000	75.457925	100	GTAGCC	22
zg66_NK_CD16p_NKP80p_NKG2Ap_20160829_PBMC_pp_50trim_R4.fastq	ZG66	45m	NA	NA	NA	NK CD16sp NKP80p NKG2Ap	CD16+	NA	NA	NA	ZG66 45m    CD16+ NKP80p NKG2Ap   	2903815	4000000	72.595375	100	GTAGCC	45
sampled_trimmed_ZG66_48m_12_12_2016_PB_RBC_1_RNA_R26_FX20.fastq	ZG66	48m	NA	NA	NA	RBC	RBC	NA	1 RNA	FX20	ZG66 48m    RBC  1 RNA FX20	3114261	4000000	77.856525	100	GTAGCC	48
zg6617mTNK.fastq	ZG66	17m	NA	NA	NA	NK	NK	NA	NA	NA	ZG66 17m    NK   	3084277	4000000	77.106925	100	GTAGCC	17
zg6614hmGrGFPp.fastq	ZG66	14hm	NA	NA	NA	Grans GFPp	Gr GFPp	NA	NA	NA	ZG66 14hm    Grans GFPp   	3297309	4000000	82.432725	100	GTAGCC	14.5
ZG666hmLeftNodeBfrozen.fastq	ZG66	6hm	NA	NA	NA	B	B	NA	Left node frozen	NA	ZG66 6hm    B  Left node frozen 	1793327	4000000	44.833175	100	GTAGCC	6.5
zg6617mT.fastq	ZG66	17m	NA	NA	NA	T	T	NA	NA	NA	ZG66 17m    T   	2733940	3250597	84.105781	100	GTAGCC	17
zg667mRBMcd34p2.fastq	ZG66	7m	NA	NA	NA	CD34p	CD34p	NA	rep	NA	ZG66 7m    CD34p  rep 	1058763	1573799	67.274347	100	GTAGCC	7
zg66_20150615sample_MDC_CD102_R16_CCGTCC_L006_R1_001.fastq	ZG66	30m	2016	6	15	MD	MD	NA	NA	NA	ZG66 30m 2016 06 15 MD   	3187439	4000000	79.685975	100	GTAGCC	30
zg6612hmRPadGr.fastq	ZG66	12hm	NA	NA	NA	Grans	Gr	NA	Rpad	NA	ZG66 12hm    Grans  Rpad 	1462419	2002867	73.016281	100	GTAGCC	12.5
ZG666hmNK16pFrozen.fastq	ZG66	6hm	NA	NA	NA	NK CD16sp	CD16+	NA	frozen	NA	ZG66 6hm    CD16+  frozen 	1889255	4000000	47.231375	100	GTAGCC	6.5
ZG662mNK.fastq	ZG66	2m	NA	NA	NA	NK	NK	NA	NA	NA	ZG66 2m    NK   	2678309	4000000	66.957725	100	GTAGCC	2
zg666hmB50ngnewDNA.fastq	ZG66	6hm	NA	NA	NA	B	B	NA	50ng new DNA	NA	ZG66 6hm    B  50ng new DNA 	3350519	4000000	83.762975	100	GTAGCC	6.5
zg6612mGrDNA.fastq	ZG66	12m	NA	NA	NA	Grans	Gr	NA	NA	NA	ZG66 12m    Grans   	3194289	4000000	79.857225	100	GTAGCC	12
pp_50trim_ZG66_47M_20161027_SYK_Dim2_R28_CD140.fastq	ZG66	47m	NA	NA	NA	NK CD16sp SYKdim	CD16+ SYKdim	NA	NA	CD140	ZG66 47m    CD16+ SYKdim   CD140	2070276	4000000	51.7569	100	GTAGCC	47
ZG665mRBMcd34pRep.fastq	ZG66	5m	NA	NA	NA	CD34p	CD34p	NA	RBM rep	NA	ZG66 5m    CD34p  RBM rep 	2218358	4000000	55.45895	100	GTAGCC	5
ZG666hmB.fastq	ZG66	6hm	NA	NA	NA	B	B	NA	NA	NA	ZG66 6hm    B   	1830230	4000000	45.75575	100	GTAGCC	6.5
sampled_trimmed_ZG66_48m_12_12_2016_PB_56pP80p_NK_CELL_RNA_R28_FX18.fastq	ZG66	48m	NA	NA	NA	NK CD56sp NK80p	CD56+ NK80p	NA	RNA	FX18	ZG66 48m    CD56+ NK80p  RNA FX18	2846007	4000000	71.150175	100	GTAGCC	48
pp_50trim_ZG66_47M__27102016__T_R12_CD139.fastq	ZG66	47m	NA	NA	NA	T	T	NA	NA	CD139	ZG66 47m    T   CD139	2949022	4000000	73.72555	100	GTAGCC	47
zg6614hmOverallNK.fastq	ZG66	14hm	NA	NA	NA	NK	NK	NA	NA	NA	ZG66 14hm    NK   	3110131	4000000	77.753275	100	GTAGCC	14.5
sampled_trimmed_zg66_48m_12_12_16_Sampling_12_13_sort_B__R3_CD142.fastq	ZG66	48m	NA	NA	NA	B	B	NA	NA	CD142	ZG66 48m    B   CD142	3073891	4000000	76.847275	100	GTAGCC	48
zg6612hmPBMNCCD34n.fastq	ZG66	12hm	NA	NA	NA	CD34n	CD34n	NA	PBMNC	NA	ZG66 12hm    CD34n  PBMNC 	2972132	3760581	79.033851	100	GTAGCC	12.5
pp_50trim_ZG66_45m_08292016_PBMC_CD3p_CD138_R1.fastq	ZG66	45m	NA	NA	NA	T	T	NA	NA	CD138	ZG66 45m    T   CD138	2539427	4000000	63.485675	100	GTAGCC	45
zg666hmCD8apNKG2ApCD16pCD56n121814.fastq	ZG66	24m	2014	12	18	NK CD16p CD56n CD8 NKG2AP	NK CD16p CD56n CD8 NKG2AP	NA	NA	NA	ZG66 24m 2014 12 18 NK CD16p CD56n CD8 NKG2AP   	381826	591817	64.517579	100	GTAGCC	24
pp_50trim_ZG66_47M_20161027__SYK_Bright_R1_CD140.fastq	ZG66	47m	NA	NA	NA	NK CD16sp SYKbright	CD16+ SYKbright	NA	NA	CD140	ZG66 47m    CD16+ SYKbright   CD140	2188247	4000000	54.706175	100	GTAGCC	47
zg66_36m_B_resequenced_20151214_pp_50trim_CD122_R2.fastq	ZG66	36m	2015	12	14	B	B	NA	resequenced	NA	ZG66 36m 2015 12 14 B  resequenced 	1813272	4000000	45.3318	100	GTAGCC	36
ZG667mRightCD34n.fastq	ZG66	7m	NA	NA	NA	CD34n	CD34n	NA	RBM	NA	ZG66 7m    CD34n  RBM 	3168992	4000000	79.2248	100	GTAGCC	7
zg66_27m_MONO_CD85_R36_CCAACA_L007_R1_001.fastq	ZG66	27m	NA	NA	NA	Mono	Mono	NA	NA	CD85	ZG66 27m    Mono   CD85	3374394	4000000	84.35985	100	GTAGCC	27
zg66_42m_PB_Mono_CD14p_20160602_0606sort_fixedsample_pp_50trim_CD135_R5.fastq	ZG66	42m	NA	NA	NA	Mono	Mono	NA	fixed	CD135	ZG66 42m    Mono  fixed CD135	3268815	4000000	81.720375	100	GTAGCC	42
ZG664hmGr.fastq	ZG66	4hm	NA	NA	NA	Grans	Gr	NA	NA	NA	ZG66 4hm    Grans   	2924576	4000000	73.1144	100	GTAGCC	4.5
zg6612mNKcd56n16p.fastq	ZG66	12m	NA	NA	NA	NK CD16sp	CD16+	NA	NA	NA	ZG66 12m    CD16+   	2736429	4000000	68.410725	100	GTAGCC	12
ZG661mB.fastq	ZG66	1m	NA	NA	NA	B	B	NA	NA	NA	ZG66 1m    B   	2643052	4000000	66.0763	100	GTAGCC	1
zg6614hmGrGFPn.fastq	ZG66	14hm	NA	NA	NA	Grans	Gr	NA	NA	NA	ZG66 14hm    Grans   	2780981	4000000	69.524525	100	GTAGCC	14.5
ZG664hmPB.fastq	ZG66	4hm	NA	NA	NA	PBMNC	PBMNC	NA	NA	NA	ZG66 4hm    PBMNC   	2838707	4000000	70.967675	100	GTAGCC	4.5
ZG666hmRightNodeNKfrozen.fastq	ZG66	6hm	NA	NA	NA	NK	NK	NA	Right node frozen	NA	ZG66 6hm    NK  Right node frozen 	1658057	4000000	41.451425	100	GTAGCC	6.5
